iter	Passed	Remaining
923	1672	137
924	1674	135
925	1676	133
926	1677	132
927	1679	130
928	1681	128
929	1683	126
930	1684	124
931	1686	123
932	1687	121
933	1689	119
934	1690	117
935	1692	115
936	1693	113
937	1695	112
938	1696	110
939	1697	108
940	1699	106
941	1700	104
942	1702	102
943	1703	101
944	1705	99
945	1706	97
946	1707	95
947	1708	93
948	1710	91
949	1711	90
950	1713	88
951	1715	86
952	1718	84
953	1720	82
954	1722	81
955	1724	79
956	1725	77
957	1726	75
958	1728	73
959	1729	72
960	1730	70
961	1732	68
962	1733	66
963	1734	64
964	1736	62
965	1737	61
966	1739	59
967	1740	57
968	1741	55
969	1742	53
970	1746	52
971	1748	50
972	1749	48
973	1751	46
974	1752	44
975	1754	43
976	1755	41
977	1756	39
978	1758	37
979	1759	35
980	1760	34
981	1762	32
982	1763	30
983	1765	28
984	1766	26
985	1767	25
986	1769	23
987	1770	21
988	1772	19
989	1774	17
990	1776	16
991	1778	14
992	1779	12
993	1781	10
994	1782	8
995	1784	7
996	1785	5
997	1787	3
998	1788	1
999	1790	0
